Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
CFFN,"Capitol Federal Financial, Inc.",12.49,1756760441,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/cffn
MBI,"MBIA, Inc.",9.25,1717386173,n/a,1987,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mbi
FFIN,"First Financial Bankshares, Inc.",26.6,1705826000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffin
NGHC,National General Holdings Corp,18.04,1685084144,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/nghc
ONB,Old National Bancorp,13.94,1670388380,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/onb
IBOC,International Bancshares Corporation,24.86,1650838493,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/iboc
CVBF,CVB Financial Corporation,15.54,1647728205,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cvbf
ABM,ABM Industries Incorporated,29.37,1641328294,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/abm
COLB,"Columbia Banking System, Inc.",28.24,1622467496,n/a,1992,Finance,Major Banks,http://www.nasdaq.com/symbol/colb
SSB,South State Corporation,66.53,1607149176,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ssb
TRMK,Trustmark Corporation,23.62,1594941468,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/trmk
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",16.47,1556815633,n/a,2005,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nfj
PNFP,"Pinnacle Financial Partners, Inc.",42.24,1512603671,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/pnfp
NPBC,"National Penn Bancshares, Inc.",10.72,1501393802,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/npbc
SIGI,"Selective Insurance Group, Inc.",26.39,1501019102,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/sigi
IILG,"Interval Leisure Group, Inc.",25.5,1456070910,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/iilg
CBU,"Community Bank System, Inc.",35.12,1432639905,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cbu
FFG,"FBL Financial Group, Inc.",57.38,1414571295,n/a,1996,Finance,Life Insurance,http://www.nasdaq.com/symbol/ffg
HAWKB,"Blackhawk Network Holdings, Inc.",33.73,1364074930,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/hawkb
FMBI,"First Midwest Bancorp, Inc.",17.28,1347128323,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fmbi
HMN,Horace Mann Educators Corporation,32.7,1343510565,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hmn
BOFI,"BofI Holding, Inc.",88.74,1337893668,n/a,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bofi
PRK,Park National Corporation,84.85,1304220101,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/prk
CBF,Capital Bank Financial Corp.,27.23,1295955239,n/a,2012,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf
SFN,Stifel Financial Corporation,26.1773,1283444172,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/sfn
AF,Astoria Financial Corporation,12.8,1279138816,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/af
WSBC,"WesBanco, Inc.",32.77,1261023976,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wsbc
STL,Sterling Bancorp,13.74,1248883876,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stl
FIBK,"First Interstate BancSystem, Inc.",26.96,1234948201,n/a,2010,Finance,Major Banks,http://www.nasdaq.com/symbol/fibk
PFS,"Provident Financial Services, Inc",18.26,1192620639,n/a,2003,Finance,Savings Institutions,http://www.nasdaq.com/symbol/pfs
VRTS,"Virtus Investment Partners, Inc.",130,1167111920,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/vrts
UCBI,"United Community Banks, Inc.",18.98,1144413677,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ucbi
AMBC,"Ambac Financial Group, Inc.",24.94,1122389734,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
OCN,Ocwen Financial Corporation,8.91,1121009966,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ocn
WABC,Westamerica Bancorporation,43.54,1115506295,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wabc
LTXB,"LegacyTexas Financial Group, Inc.",23.37,1114424648,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ltxb
NWBI,"Northwest Bancshares, Inc.",11.71,1108733269,n/a,2009,Finance,Major Banks,http://www.nasdaq.com/symbol/nwbi
EGBN,"Eagle Bancorp, Inc.",36.3,1106532138,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/egbn
BBCN,"BBCN Bancorp, Inc.",13.91,1105963958,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bbcn
GHL,"Greenhill & Co., Inc.",37.3,1062277293,n/a,2004,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ghl
NAVG,"The Navigators Group, Inc.",73.99,1057314880,n/a,1986,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/navg
NBTB,NBT Bancorp Inc.,23.83,1053612876,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/nbtb
FFBC,First Financial Bancorp.,17.01,1045619056,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffbc
RSE,"Rouse Properties, Inc.",18.05,1042254020,n/a,2011,Finance,Real Estate,http://www.nasdaq.com/symbol/rse
BPFH,"Boston Private Financial Holdings, Inc.",12.48,1037412592,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bpfh
ECPG,Encore Capital Group Inc,40.04,1033195243,n/a,n/a,Finance,Finance Companies,http://www.nasdaq.com/symbol/ecpg
INDB,Independent Bank Corp.,41.03,985528208.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/indb
CHFC,Chemical Financial Corporation,29.93,981334484.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/chfc
UBSH,Union Bankshares Corporation,21.43,965523035.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ubsh
BANF,BancFirst Corporation,59.93,928108701.8,n/a,1993,Finance,Major Banks,http://www.nasdaq.com/symbol/banf
STFC,State Auto Financial Corporation,22.45,921593401,n/a,1991,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/stfc
NWLI,National Western Life Insurance Company,252.52,918204638.3,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/nwli
RNST,Renasant Corporation,28.71,907355376.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/rnst
KRNY,Kearny Financial,13.33,898112042.5,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/krny
IPCC,Infinity Property and Casualty Corporation,78.06,895657864,n/a,2003,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ipcc
PJC,Piper Jaffray Companies,53.36,892995608,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/pjc
UVE,UNIVERSAL INSURANCE HOLDINGS INC,25,882750425,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/uve
STC,Stewart Information Services Corporation,36.55,876589578.5,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/stc
SAFT,"Safety Insurance Group, Inc.",58.16,872987125.2,n/a,2002,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/saft
STBA,"S&T Bancorp, Inc.",28.97,863201621.1,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/stba
BANR,Banner Corporation,44.02,861546806.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/banr
FRME,First Merchants Corporation,22.81,859494577.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/frme
BNCL,"Beneficial Bancorp, Inc.",11.14,837233294.9,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bncl
FBC,"Flagstar Bancorp, Inc.",14.84,835063361.4,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fbc
CPF,CPB Inc.,23.31,810273688.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cpf
SFBS,"ServisFirst Bancshares, Inc.",31.8,788688272.4,n/a,2014,Finance,Major Banks,http://www.nasdaq.com/symbol/sfbs
WRLD,World Acceptance Corporation,82.2,783486998.4,n/a,1991,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wrld
ITG,"Investment Technology Group, Inc.",22.5,782751825,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/itg
FCF,First Commonwealth Financial Corporation,8.62,780310647.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcf
WIBC,"Wilshire Bancorp, Inc.",9.88,773895993.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/wibc
